BranchID,BankID,BranchName,BranchCode,Address,SortCode,Phone#1,Phone#2,FaxNumber,EMail,Comment
53,10,"מרכז בנקאות פרטית ת"א",686,"הארבעה 17, בנין המילניום תל אביב 64739",,03-6237333,,03-6237355,,
54,10,מרכז בנקאות פרטית ירושלים,687,דוד המלך 19 ירושלים 94101,,02-6201877,,02-8201878,,
55,10,מרכז בנקאות פרטית השרון,688,מדינת היהודים 85 הרצליה 46766,,09-9609311,,09-9609322,,
56,10,עסקים איילון,693,"המלאכה 13, איזור התעשיה הצפוני לוד ",,03-9351000,,03-9351099,,
57,10,הנביאים,702,"חורי 2, (מגדל הנביאים) חיפה 33045",,04-8616822,,04-8616868,,
58,10,השופטים,705,שד' משה גושן 90 קרית מוצקין 26311,,04-8781333,,04-8781355,,
59,10,עסקים פתח תקוה,707,"אלכסנדר ינאי 1, א' תעשיה סגולה פתח תקוה 49277",,03-9056333,,03-9056355,,
60,10,עסקים הצ'ק פוסט,710,שלמה בן יוסף 11 חיפה 32960,,04-8465333,,04-8465355,,
61,10,קניון חיפה,716,פלימן 4 חיפה 30300,,04-8519311,,04-8519322,,
62,10,עסקים נתניה,717,הצורן 1 נתניה 42504,,08-8920333,,08-8920355,,
63,10,"בנקאות פרטית בינלאומית 718 ת"א",718,דיזנגוף 55 תל אביב 64332,,03-6217333,,03-6217355,,
64,10,סביניה,719,קרן היסוד 64 קרית ביאליק 27000,,04-8808333,,04-8808355,,
65,10,טשרניחובסקי,720,"טשרניחובסקי 2, כרמל צרפתי חיפה 35701",,04-8139333,,04-8139355,,
66,10,מטולה,721,רחוב ראשי מטולה 10292,,04-6997971,,,,
67,10,עסקים דיזנגוף סנטר,725,דיזנגוף 50 תל אביב 64332,,03-5260444,,03-5260412,,
68,10,חצור הגלילית,727,"שד' הנשיא, מרכז מסחרי חצור הגלילית 10300",,04-6849333,,04-6849355,,
69,10,יקנעם,729,"התמר 2, קניון דרכים יקנעם 20292",,04-9099333,,04-9099355,,
70,10,קצרין,732,מרכז מסחרי קצרין קצרין 12900,,04-6859333,,04-6859355,,
71,10,אגוז,736,"האגוז, נווה אילן יבנה 70600",,08-9429311,,08-9429319,,
72,10,עסקים הברון,740,ז'בוטינסקי 20 ראשון לציון 75229,,03-9689333,,03-9689355,,
73,10,עסקים גבעת שאול,741,כנפי נשרים 22 ירושלים 95464,,02-6558311,,02-6558322,,
74,10,ראש העין,742,"המרץ 15, אזור התעשיה ראש העין 40850",,03-9029311,,03-9029329,,
75,10,עסקים הבורסה,743,"בצלאל 31, מגדלי פז רמת גן 52521",,03-6111333,,03-6111355,,
76,10,עסקים רעננה- כפר סבא,744,"רח' תדהר 3, אזור התעשיה רעננה רעננה 43657",,09-7622333,,09-7622355,,
77,10,הפרדס,746,הפטיש 6 נס ציונה 74047,,08-9389033,,08-9409189,,
78,10,שוהם,747,"מרכז מסחרי, רח' עמק אילון שוהם 73142",,03-9776311,,03-9776322,,
79,10,קניון ירושלים,749,"קניון ירושלים, מלחה ירושלים 96950",,02-6795836,,02-6795921,,
80,10,עסקים החרוצים,750,"יד חרוצים 15, תלפיות ירושלים 93420",,02-5652333,,02-5652355,,
81,10,מעלה אדומים,752,"המרכז המסחרי, ככר יהלום מעלה אדומים 90610",,02-5412311,,02-5412329,,
82,10,מטרסדורף,753,פנים מאירות 10 ירושלים 94473,,02-5373131,,02-5386986,,
83,10,ג'לג'וליה,757,הרחוב הראשי ג'לג'וליה 45850,,03-9396066,,03-9397077,,
84,10,ערד,758,"חן 4, המרכז המסחרי ערד 80700",,08-9554333,,08-9554355,,
85,10,עסקים הר חוצבים,762,פרופסור הרטום 7 ירושלים 67778,,02-5879179,,02-5879432,,
86,10,בית וגן,766,הפסגה 17 ירושלים 96465,,02-6321333,,02-6321355,,
87,10,הדסה ירושלים,772,בית חולים הדסה עין כרם ירושלים 91120,,02-6416222,,02-6437778,,
88,10,היעלים,775,"מ' מסחרי היעלים, שכונה ה' באר שבע 84739",,08-9112333,,08-9213355,,
89,10,בנקאות פרטית בינלאומית ירושלים,780,דוד המלך 19 ירושלים 94101,,02-6201811,,02-6240431,,
90,10,משכית,783,"משכית 32, הרצליה פיתוח הרצליה 46733",,09-9706333,,09-9706356,,
91,10,גילה,784,מרכז מסחרי שכ' גילה ירושלים 93384,,02-6465311,,02-6465329,,
92,10,תלפיות,785,דרך חברון 103 ירושלים 93480,,02-5650311,,02-5650329,,
93,10,קרית ארבע,788,"מרכז מסחרי, בנין 939 קרית ארבע 90100",,02-9961757,,02-9964441,,
94,10,אופקים,789,שד' הרצל 35 אופקים 80300,,08-9908333,,08-9908355,,
95,10,נתיבות,790,המרכז המסחרי נתיבות 80200,,08-6296333,,08-6296355,,
96,10,ככר ההגנה,795,יפו 21 חיפה 33262,,04-8547111,,04-8547355,,
97,10,גבעת אורנים,797,עגנון 20 ירושלים 92586,,02-6490333,,02-6490355,,
98,10,הסניף המרכזי,800,"הרצל 19, ת"ד 2 תל אביב 61000",,03-5148111,,03-5661872,,
99,10,יפו,801,שד' ירושלים 1 תל אביב 68114,,03-5120333,,03-5120355,,
100,10,עסקים אלנבי,802,אלנבי 94 תל אביב 65812,,03-5640911,,03-5640987,,
101,10,ביאליק,803,אלנבי 43 תל אביב 65243,,03-5143111,,03-5143155,,
102,10,הצפון,804,בן יהודה 87 תל אביב 63437,,03-5211333,,03-5211355,,
103,10,פלורנטין,805,דרך שלמה 60 תל אביב 66074,,03-5132333,,03-5132355,,
104,10,לב דיזנגוף,806,דיזנגוף 50 תל אביב 64332,,03-5260444,,03-5260410,,
105,10,טרומפלדור,807,בן יהודה 29 תל אביב 63802,,03-5116333,,03-5116355,,
106,10,"ארלוזורוב ת"א",808,דיזנגוף 208 תל אביב 63464,,03-5200111,,03-5200166,,
107,10,היכל התרבות,809,מרמורק 4 תל אביב 64254,,03-5638585,,03-5638588,,
108,10,ככר המושבות,810,אלנבי 119 תל אביב 66522,,03-5642424,,03-5642437,,
109,10,אחד העם,811,מונטיפיורי 31-37 תל אביב 65201,,03-5641818,,03-5641855,,
110,10,מגדלי אביב,812,"ריב"ל 2 תל אביב 67778",,03-6366333,,03-6366355,,
111,10,בזל,813,"השל"ה 9 תל אביב 62744",,03-5425333,,03-5425354,,
112,10,יד אליהו,814,לה גרדיה 76-78 תל אביב 67325,,03-6303011,,03-6303066,,
113,10,ככר יצחק רבין,816,אבן גבירול 71 תל אביב 64162,,03-5201313,,03-5201333,,
114,10,עסקים החשמונאים,817,החשמונאים 91 תל אביב 67011,,03-5639311,,03-5639333,,
115,10,קרית המלאכה,821,שד' הר ציון 106 תל אביב 66534,,03-5155333,,03-5155355,,
116,10,המסגר,822,המסגר 44 תל אביב 67214,,03-6365333,,03-6365355,,
117,10,אזור,827,הרצל 3 אזור 58006,,03-5573777,,03-5573755,,
118,10,גשר הירקון,829,"יהודה המכבי 72, דרך חיפה תל אביב 62300",,03-5441226,,03-5463401,,
119,10,פנקס,832,פנקס 48 תל אביב 62261,,03-6010333,,03-6010355,,
120,10,אינשטיין,833,ברודצקי 43 תל אביב 69052,,03-6461777,,03-6461720,,
121,10,תל מונד,835,הדקל 52 א' תל מונד 40600,,09-7779333,,09-7779355,,
122,10,שיכון הותיקים,836,"רש"י 33 רמת גן 52560",,03-6116333,,03-6116355,,
123,10,יהוד,837,אשכנזי 3-5 יהוד 56360,,03-5394333,,03-5394354,,
124,10,נאות אפקה,838,קהילת סלוניקי 7 תל אביב 69705,,03-7664333,,03-7664355,,
125,10,פייבל,839,"ארלוזורוב 149, פינת פייבל תל אביב 62995",,03-7775311,,03-7775328,,
126,10,קרית אונו,843,זיידמן 2 קרית אונו 55000,,03-5304333,,03-5304355,,
127,10,כפר שמריהו,844,המעפילים 5 כפר שמריהו 46910,,09-9701333,,09-9701355,,
128,10,המשרד המרכזי-החטיבה לכספים,849,אחד העם 13 תל אביב 65151,,03-5148871,,03-5148936,,
129,10,דפנה,850,שד' שאול המלך 41 תל אביב 64928,,03-6927311,,03-6927340,,
130,10,רמת גן,851,ביאליק 22 רמת גן 52451,,03-6750511,,03-6750555,,
131,10,רמת יצחק,852,שד' ירושלים 29-31 רמת גן 52381,,03-6714333,,03-6714355,,
132,10,רמת חן,853,מצדה 28 רמת גן 52235,,03-6715055,,03-6715056,,
133,10,"הרא"ה",854,"הרא"ה 123 רמת גן 52401",,03-6154333,,03-6154555,,
134,10,בני ברק,855,בן גוריון 13 בני ברק 51264,,03-5771511,,03-5771555,,
135,10,אחיעזר,856,רבי עקיבא 51 בני ברק 51273,,03-6176333,,03-6176355,,
136,10,גבעתיים,857,כצנלסון 67 גבעתיים 53270,,03-6753030,,03-6753050,,
137,10,חולון,858,סוקולוב 45 חולון 58268,,03-5025511,,03-5025555,,
138,10,דקר,859,בלפור 84 בת ים 59447,,03-5008333,,03-5008355,,
139,10,בת ים,861,שד' העצמאות 67 בת ים 59315,,03-5001911,,03-5001966,,
140,10,ככר סירן,863,"אילת 36, נאות רחל חולון 58361",,03-5021333,,03-5021355,,
141,10,עסקים הרצליה,864,גלגלי הפלדה 11 הרצליה 46733,,09-9716444,,09-9716455,,
142,10,עסקים,865,ויצמן 107 כפר סבא 44200,,09-7653011,,09-7653010,,
143,10,הנשיא,866,יוספטל 92 בת ים 59100,,03-5551777,,03-5551755,,
144,10,שטמפפר,868,חיים עוזר 11 פתח תקוה 49361,,03-9394011,,03-9394055,,
145,10,אבן גבירול,870,אבן גבירול 136 תל אביב 62966,,03-5450333,,03-5450355,,
146,10,קרית ביאליק,874,שד' ירושלים 18 קרית ביאליק 27000,,04-8783333,,04-8783355,,
147,10,הטכניון,875,"קרית הטכניון, בניין אס"ט חיפה 32000",,04-8129333,,04-8129355,,
148,10,ראשי חיפה,876,יפו 21 חיפה 33262,,04-8547111,,04-8547284,,
149,10,קרית אליעזר,877,ככר מאירהוף 8 חיפה 35153,,04-8508533,,04-8508555,,
150,10,הדר,878,הרצל 33 חיפה 33504,,04-8612888,,04-8612855,,
151,10,מגדל חיפה,879,החלוץ 66 חיפה 32622,,04-8612444,,04-8612455,,
152,10,חורב,880,"חורב 16, אחוזה חיפה 34341",,04-8269333,,04-8269355,,
153,10,נוה שאנן,882,גלבוע 36 חיפה 32711,,04-8298333,,04-8298355,,
154,10,טירת הכרמל,885,המרכז המסחרי טירת הכרמל 30200,,04-8569333,,04-8569355,,
155,10,מוריה,886,"שד' מוריה 112, אחוזה חיפה 34618",,04-8305533,,04-8305555,,
156,10,נשר,887,"דרך בר יהודה 126, תל חנן נשר 20302",,04-8209333,,04-8209355,,
157,10,עסקים חלוצי התעשיה,889,"חלוצי התעשיה 9, מפרץ חיפה חיפה 26291",,04-8474333,,04-8474355,,
158,10,הכרמל,891,"שד' הנשיא 123, הר הכרמל חיפה 34634",,04-8300666,,04-8300655,,
159,10,הגליל,892,"הגליל 76, נוה-שאנן חיפה 32684",,04-8117333,,04-8117355,,
160,10,נמל חיפה,894,"נמל חיפה, בית המכס חיפה 33031",,04-8667291,,04-8643913,,
161,10,קרית טבעון,895,ככר בן גוריון קרית טבעון 36000,,04-9038333,,04-9038355,,
162,10,זייד,896,"רח' זייד, המרכז המסחרי החדש קרית טבעון 36000",,04-9539033,,04-9539055,,
163,10,קרית אתא,897,העצמאות 66 קרית אתא 28215,,04-8478333,,04-8478355,,
164,10,סניף עסקים המפרץ,898,דרך עכו 192 קרית ביאליק 26368,,04-8807333,,04-8807355,,
165,10,קרית חיים,899,"שד' אח"י אילת 22, קרית חיים חיפה 26260",,04-8818333,,04-8818355,,
166,10,קרית ים,900,נמיר 5 קרית ים 29000,,04-8749333,,04-8749355,,
167,10,סניף ראשי,901,יפו 21 ירושלים 94141,,02-6291611,,02-6243146,,
168,10,המלך ג'ורג',902,המלך ג'ורג' 22 ירושלים 94262,,02-6207511,,02-6207555,,
169,10,בית הכרם,903,שד' הרצל 106 ירושלים 96187,,02-6441933,,02-6441955,,
170,10,שער העיר,904,יפו 208 ירושלים 94383,,02-5006333,,02-5006355,,
171,10,רמות אשכול,905,"פארן 15, המרכז המסחרי ירושלים 97802",,02-5320311,,02-5320355,,
172,10,גאולה,911,שטראוס 29 ירושלים 95142,,02-5312333,,02-5312355,,
173,10,רחביה,912,"רמב"ן 21 ירושלים 92422",,02-6754511,,02-6754567,,
174,10,עמק רפאים,914,חנניה 4 ירושלים 93106,,02-5399333,,02-5399355,,
175,10,קרית היובל,915,אורוגואי 1 ירושלים 96701,,02-6444333,,02-6444355,,
176,10,בית שמש,916,המרכז המסחרי בית שמש 99000,,02-9901311,,02-9901355,,
177,10,מזרח ירושלים,918,"צאלח א דין, ליד שער שכם ירושלים 97300",,02-6268311,,02-6268329,,
178,10,ככר ציון,920,ככר ציון ירושלים 94632,,02-6201511,,02-6201555,,
179,10,באר שבע,921,העצמאות 54 באר שבע 84214,,08-6462811,,08-6462817,,
180,10,מרכז הנגב,922,"דרך מצדה, שכ' ד' באר שבע 84548",,08-6405333,,08-6405355,,
181,10,דימונה,923,המרכז המסחרי דימונה 86000,,08-6562911,,08-6562955,,
182,10,שדרות הנשיאים,924,"דרך הנשיאים 11, מגדל שבע באר שבע 84893",,08-6296511,,08-6296555,,
183,10,אשקלון,925,"צה"ל 8 אשקלון 78598",,08-6770911,,08-6770955,,
184,10,אפרידר,926,הנשיא 4 אשקלון 78404,,08-6796333,,08-6796355,,
185,10,קרית גת,927,"המרכז המסחרי החדש, ככר פז 87 קרית גת 82000",,08-6875511,,08-6875555,,
186,10,גדרה,928,הבילויים 30 גדרה 70700,,08-8636333,,08-8636355,,
187,10,בילו,929,הרצל 145 רחובות 76266,,08-9485050,,08-9485055,,
188,10,רחובות,930,הרצל 200 רחובות 76270,,08-9445611,,08-9465655,,
189,10,שעריים,931,הרצל 59 רחובות 76560,,08-9450566,,08-9451540,,
190,10,אשדוד,932,"שבי ציון 3, מרכז מסחרי א' אשדוד 77227",,08-8512111,,08-8512144,,
191,10,נס ציונה,933,"רוטשילד, פינת ויצמן נס ציונה 70400",,08-9304333,,08-9304355,,
192,10,ראשון לציון,934,הרצל 65 ראשון לציון 75267,,03-9682211,,03-9682209,,
193,10,רמלה,936,שד' הרצל 84 רמלה 72406,,08-9277077,,08-9277055,,
194,10,לוד,937,"ככר קומנדו, שד' דוד המלך לוד 71800",,08-9259511,,08-9259555,,
195,10,"נתב"ג",938,"טרמינל 3, בית הנתיבות, נתב"ג לוד נתב"ג 70100",,03-9722111,,03-9722155,,
196,10,יבנה,939,"שד' שבזי 2, פינת שבת, מ' מסחרי יבנה 70600",,08-9434040,,08-9434055,,
197,10,פתח תקוה,940,"רוטשילד 76, פינת ביל"ו 1 פתח תקוה 49362",,03-9394111,,03-9394166,,
198,10,שדרות,941,"ככר הנשיא, המרכז המסחרי שדרות 80100",,08-6627333,,08-6627355,,
199,10,רעננה,942,אחוזה 152 רעננה 43000,,09-7706311,,09-7706333,,
200,10,הוד השרון,943,הבנים 7 הוד השרון 45268,,09-7478333,,09-7478355,,
201,10,שער ראשון,944,גולדה מאיר 1 ראשון לציון 75720,,03-9426333,,03-9426355,,
202,10,כפר סבא,946,ויצמן 101 כפר סבא 44200,,09-7647477,,09-7647455,,
203,10,אורלי,947,שד' דוד המלך לוד 71800,,08-9224446,,08-9253451,,
204,10,הרצליה,948,בן גוריון 2 הרצליה 46785,,09-9595911,,09-9595966,,
205,10,רמת השרון,949,סוקולוב 69 רמת השרון 47236,,03-5481111,,03-5481155,,
206,10,נתניה,950,הרצל 5 נתניה 42400,,09-8604511,,09-8623579,,
207,10,טייבה,951,הרחוב הראשי טייבה 40400,,09-7991044,,09-7993404,,
208,10,שדרות בנימין,952,הרצל 33 נתניה 42390,,09-8607333,,09-8607355,,
209,10,חדרה,953,הרברט סמואל 58 חדרה 38204,,04-6340666,,04-6340689,,
210,10,פרדס חנה,954,שד' הדקלים פרדס חנה - כרכור 37000,,04-6176333,,04-6176355,,
211,10,בנימינה,955,המייסדים בנימינה 30500,,04-6186311,,04-6186322,,
212,10,זכרון יעקב,956,הנדיב 11 זכרון יעקב 30900,,04-6393633,,04-6393655,,
213,10,אבן יהודה,957,המייסדים אבן יהודה 40500,,09-8970333,,09-8970355,,
214,10,הרצליה פתוח,958,ככר דה שליט הרצליה 46750,,09-9705333,,09-9705355,,
215,10,גבעת אולגה,959,"שיבת ציון 1, גבעת אולגה חדרה 38300",,04-6240311,,04-6240322,,
216,10,עכו,960,בן עמי 16 עכו 24319,,04-9956333,,04-9956355,,
217,10,כרמיאל,961,קניון ככר העיר כרמיאל 20100,,04-9900333,,04-9900355,,
218,10,נהריה,962,וייצמן 64 נהריה 22420,,04-9878222,,04-9878255,,
219,10,רוגוזין,963,"שפירא 2, מרכז מסחרי, רובע ד' אשדוד 77545",,08-8688333,,08-8688355,,
220,10,נצרת,964,איכסל 9 נצרת 16000,,04-6028533,,04-6028555,,
221,10,עפולה,965,הרב לוין 10 עפולה 18390,,04-6520666,,04-6520655,,
222,10,בית שאן,966,"שאול המלך, ת"ד 29 בית שאן 10900",,04-6489633,,04-6489655,,
223,10,רמת אליהו,967,"מרכז מסחרי חדש, רמת אליהו ראשון לציון 75612",,03-9613116,,03-9611595,,
224,10,עסקים הר חוצבים,968,חרטום 7 ירושלים 67778,,02-5489333,,02-5489355,,
225,10,טבריה,970,הבנים 1 טבריה 14201,,04-6727111,,04-6727155,,
226,10,נצרת עלית,972,מרכז מסחרי רסקו נצרת עילית 17000,,04-6028333,,04-6028355,,
227,10,צפת,975,ירושלים 35 צפת 13206,,04-6994311,,04-6994355,,
228,10,קרית שמונה,976,המרכז המסחרי קרית שמונה 10200,,04-6818333,,04-6818355,,
229,10,עסקים רחובות,978,"פלאוט 10, פארק תמר רחובות 76270",,08-9313333,,08-9313355,,
230,10,טירה,980,רח' טארק  עבדול חי- סמרה סנטר טירה 44915,,09-7938665,,09-7930401,,
231,10,דאלית אל כרמל-עוספייה,981,אחד 66 דאלית אל כרמל 30056,,04-8300733,,04-8300755,,
232,10,עוספיה,982,"שד' אבא חושי, מול הדואר עוספיה 30090",,04-8391672,,04-8391414,,
233,10,באקה אל גרביה,983,הנשיא ויצמן 30 באקה אל גרביה 30100,,04-6126333,,04-6126355,,
234,10,קרית מלאכי,985,"רח' בן-גוריון, פינת רש"י קרית מלאכי 70900",,08-8610333,,08-8610355,,
235,10,מגדל העמק,987,"דרך העמק 705, פינת האלה מגדל העמק 10500",,04-6447333,,04-6447355,,
236,10,תל גנים,988,הרצוג 23 גבעתיים 53601,,03-7331333,,03-7331355,,
237,10,"יחידת בצוע-מחלקת מט"י",989,לילינבלום 12 תל אביב 65131,,03-5148111,,03-5149284,,
238,10,האפוטרופוס הכללי,994,יפו 21 ירושלים 94141,,02-6291782,,02-6291582,,
239,10,פרדיס,995,הרחוב הראשי פרדיס 30898,,04-6297311,,04-6297322,,
240,10,אילת,999,"שד' התמרים, המרכז המסחרי אילת 88000",,08-6364111,,08-6364166,,
241,11,עפולה,2,הנשיא 9 עפולה 18289,,04-6428333,,04-6428328,,
242,11,אילת,3,"שד' התמרים, מרכז שלום אילת 88000",,08-6381222,,08-6372467,,
243,11,אשדוד,4,שבי ציון 30 אשדוד 77301,,08-8511444,,08-8525462,,
244,11,נצרת עלית,5,מרכז מסחרי רסקו נצרת עילית 17000,,04-6029333,,04-6029312,,
245,11,מדור פיתוח במחלקת חברות,6,יהודה הלוי 27 תל אביב 65136,,03-5145555,,03-5608417,,
246,11,תל גנים,7,בן גוריון 259 רמת גן 52313,,03-5727333,,03-5719082,,
247,11,שינקין,8,שינקין 66 תל אביב 65233,,03-7109222,,03-5603383,,
248,11,"ראשי ת"א",10,יהודה הלוי 27-31 תל אביב 65136,,03-5146333,,03-5145426,,
249,11,וולפסון,11,וולפסון 18 תל אביב 66551,,03-5156333,,03-6811117,,
250,11,ככר המושבות,14,אלנבי 138 תל אביב 66522,,03-7101333,,03-5603185,,
251,11,אלנבי,16,אלנבי 76 תל אביב 65172,,03-5199222,,03-5163159,,
252,11,דרך שלמה,17,דרך שלמה 74 תל אביב 66531,,03-5151333,,03-6810153,,
253,11,שכונת התקוה,18,"אצ"ל 16 תל אביב 67128",,03-6360333,,03-6879793,,
254,11,בן יהודה,19,בן יהודה 71 תל אביב 63433,,03-5216333,,03-5248250,,
255,11,שדרות נורדאו,23,בן יהודה 195 תל אביב 63473,,03-5428222,,03-5466746,,
256,11,שלוחת הקריה,25,החשמונאים 90 תל אביב 67133,,03-6235656,,03-5612990,,
257,11,יפו ראשי,26,שד' ירושלים 39 תל אביב 68112,,03-5152444,,03-6833920,,
258,11,אבן גבירול,28,אבן גבירול 164 תל אביב 62966,,03-5422222,,03-6054221,,
259,11,הקריה,34,קפלן 2 תל אביב 64734,,03-6939222,,03-6956694,,
260,11,דרך יפו,37,דרך יפו 3 תל אביב 66841,,03-5111222,,03-5172630,,
261,11,יהודה המכבי,38,יהודה המכבי 69-71 תל אביב 62300,,03-5432222,,03-5460057,,
262,11,רמת גן,40,הרצל 50 רמת גן 52421,,03-6752777,,03-6703103,,
263,11,פתח תקוה,41,סלור 22 פתח תקוה 49363,,03-9395111,,03-9345572,,
264,11,נתניה,42,סמילנסקי 6 נתניה 42432,,09-8601222,,09-8342463,,
265,11,רמלה,43,שד' הרצל 55 רמלה 72406,,08-9182424,,08-9226872,,
266,11,הרצליה,44,סוקולוב 22 הרצליה 46497,,09-9596333,,09-9547960,,
267,11,רחובות,45,הרצל 190 רחובות 76268,,08-9360222,,08-9476772,,
268,11,טבריה,46,הירדן 8 טבריה 14200,,04-6728333,,04-6792132,,
269,11,"גבעת רמב"ם",48,"רמב"ם 26 גבעתיים 53425",,03-7321414,,03-5712698,,
270,11,חולון,49,סוקולוב 68 חולון 58330,,03-5026222,,03-5036054,,
271,11,ז'בוטינסקי,50,ז'בוטינסקי 86 רמת גן 52442,,03-6756444,,03-6724831,,
272,11,בת ים,51,בלפור 51 בת ים 59383,,03-5002333,,03-6593766,,
273,11,ככר נח,52,סירקין 16 גבעתיים 53256,,03-6756555,,03-6724957,,
274,11,שעריים,53,עזרא 4 רחובות 76200,,08-9345222,,08-9451758,,
275,11,כפר סבא,54,ויצמן 75 כפר סבא 44214,,09-7645222,,09-7441688,,
276,11,ראשון לציון,55,הרצל 87 ראשון לציון 75266,,03-9688388,,03-9665247,,
